ID|DIGITALASSET_COLLECTIONNAME|ARTWORKORILLUSTRATION_ARTISTNATIONALITY|ARTWORKORILLUSTRATION_MATERIALSTECHNIQUES|DIGITALASSET_ASSETTYPE|self.mediaRef|self.mimeType|self.formattedFileSize|FILEINFORMATION_EXIF_MAKE|FILEINFORMATION_EXIF_MODEL|self.pixelDimensions|self.dimensionsInInches|self.dimensionsInCMs|MEDIA_COLOR_SPACE_NAME|SUBJECT_TITLE|SUBJECT_DESCRIPTION|SUBJECT_DIGITALASSETSUBJECT|BOOKORPUBLICATION_GRAPHICSTYPEFACE|PLANT_PLANTPART|PLANT_COMMONNAMES|ACCEPTEDPLANTNAME_FAMILY|ACCEPTEDPLANTNAME_GENUS|ACCEPTEDPLANTNAME_SPECIES|ACCEPTEDPLANTNAME_AUTHOR|self.pkStr|DISCOVERYASSISTANCE_KEYWORDS|DISCOVERYASSISTANCE_SEASON|STILLIMAGEINFORMATION_EXPOSURE|STILLIMAGEINFORMATION_ISOSPEEDRATING|DACREATIONDATA_CREATORNAME|SUBJECT_ADDITIONALINFO|STILLIMAGEADDITIONALINFORMATION_STILLIMAGETYPE|DACOPYRIGHTINFO_DACOPYRIGHTHOLDER|MEDIA_DATECREATED|PLANT_IPNIIDENTIFIER|DIGITALASSET_DAORIENTATION|ADMIN_APPROVALSTATUS|ARTWORKORILLUSTRATION_MARKSINSCRIPTIONSORHANDWRITTENNOTES|BOOKORPUBLICATION_MARKSINSCRIPTIONSORHANDWRITTENNOTES|ARTWORKORILLUSTRATION_ARTWORKTYPE|DACOPYRIGHTINFO_SPECIFICCOPYRIGHTAGREEMENT|DACREATIONDATA_SUBLOCATION|STILLIMAGEINFORMATION_F_NUMBER|PHYSICALDIGITISEDOBJECTNOTES_FREE|PLANTFUNGUSALGAE_NAME_VERIFIED|PLANTFUNGUSALGAE_OTHER_NAMES|PLANTFUNGUSALGAE_ORG_TYPE|SUBJECTLOCATIONSUBJECTORIGINLOCATIONSHOWN_SUBJECTCOUNTRY|SUBJECTLOCATIONSUBJECTORIGINLOCATIONSHOWN_COUNTSUBLOC|CONTENT_START_DAY|CONTENT_START_MONTH|CONTENT_START_YEAR|CONTENT_END_YEAR|WORKFLOW_ASSET_REPLICATION_STATE|ASSETGOVERNANCE_GROUPTAG|CREATORCOPYRIGHTPERMISSIONS_POC|self.filePath
17777|Art & Illustrations|||Still Image|Plate 77.3.tif|image/tiff|3 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1448 x 869 px|"2.41"" x 1.45"""|6.13cm x 3.68cm|sRGB|Ghassa mountains in Tibet, at 60 miles distance. |Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17777|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Ghassa mountains in Tibet, at 60 miles distance.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 11:58:23||Landscape|Released, Approved|||Drawing|||undef|Yes||||China|Tibet|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17777.tif
17778|Art & Illustrations|||Still Image|Plate 77.4.tif|image/tiff|3 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1452 x 857 px|"2.42"" x 1.43"""|6.15cm x 3.63cm|sRGB|Kinchinjunga, at 37 miles distance. |Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17778|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Kinchinjunga [Kangchenjunga], at 37 miles distance.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 11:58:23||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Kanchenjunga|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17778.tif
17779|Art & Illustrations|||Still Image|Plate 78.1.tif|image/tiff|53 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|3768 x 4916 px|"6.28"" x 8.19"""|15.95cm x 20.81cm|sRGB|Mountains on Sikkim frontier, between Kinchin-jhow and Donkiah Lah.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17779|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of mountains on Sikkim frontier, between Kinchin-jhow [Kangchengyao] and Donkiah Lah [Dongkha La]. Sept. 13. 1849.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 11:59:23||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Kangchengyao, Sikkim|13|9|1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17779.tif
17780|Art & Illustrations|||Still Image|Plate 78.2.tif|image/tiff|14 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1232 x 4160 px|"2.05"" x 6.93"""|5.22cm x 17.61cm|sRGB|Donkiah from Momag Samdong.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17780|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Donkiah [Dongkha La] from Momag Samdong.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:00:02||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17780.tif
17781|Art & Illustrations|||Still Image|Plate 78.3.tif|image/tiff|55 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|3904 x 4988 px|"6.51"" x 8.31"""|16.53cm x 21.12cm|sRGB|East tops of Kinchin-jhow from Donkiah (18,000ft).|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17781|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of East tops of Kinchin-jhow [Kangchengyao] from Donkiah [Dongkha La] (18,000ft). Sept. 13. 1849.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:00:37||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Dongkha La, Sikkim|13|9|1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17781.tif
17782|Art & Illustrations|||Still Image|Plate 79.1.tif|image/tiff|52 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|2388 x 7740 px|"3.98"" x 12.9"""|10.11cm x 32.77cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17782|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:01:26||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17782.tif
17784|Art & Illustrations|||Still Image|Plate 79.3.tif|image/tiff|17 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1328 x 4600 px|"2.21"" x 7.67"""|5.62cm x 19.47cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17784|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:07:09||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17784.tif
17785|Art & Illustrations|||Still Image|Plate 79.4.tif|image/tiff|17 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1336 x 4620 px|"2.23"" x 7.7"""|5.66cm x 19.56cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17785|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view, with Kinchin-jhow [Kangchengyao].|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:07:44||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Kangchengyao, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17785.tif
17786|Art & Illustrations|||Still Image|Plate 79.5.tif|image/tiff|17 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1332 x 4612 px|"2.22"" x 7.69"""|5.64cm x 19.52cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17786|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:08:15||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17786.tif
17787|Art & Illustrations|||Still Image|Plate 79.6.tif|image/tiff|17 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1340 x 4612 px|"2.23"" x 7.69"""|5.67cm x 19.52cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17787|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:08:47||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17787.tif
17788|Art & Illustrations|||Still Image|Plate 79.7.tif|image/tiff|17 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1328 x 4620 px|"2.21"" x 7.7"""|5.62cm x 19.56cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17788|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:09:34||Landscape|Released, Approved|||Drawing|||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17788.tif
17789|Art & Illustrations|||Still Image|Plate 79.8.tif|image/tiff|17 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1328 x 4620 px|"2.21"" x 7.7"""|5.62cm x 19.56cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17789|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view, with note of Goomchen, the Tail-less Rat (Lagomys badius, not a currently accepted name, no synonyms found).|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:10:22||Landscape|Released, Approved|||Drawing|false||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17789.tif
17790|Art & Illustrations|||Still Image|Plate 79.9.tif|image/tiff|17 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1340 x 4608 px|"2.23"" x 7.68"""|5.67cm x 19.51cm|sRGB|Himalayan plateau view.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17790|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view, with note of Ghassa Mountains of Captain Turner.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:11:14||Landscape|Released, Approved|||Drawing|false||undef|Yes||||India|Dongkha La, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17790.tif
17791|Art & Illustrations|||Still Image|Plate 79.10.tif|image/tiff|16 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1352 x 4300 px|"2.25"" x 7.17"""|5.72cm x 18.2cm|sRGB|Himalayan plateau view, with Chomalu Lake.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17791|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view, with Chomalu Lake [Tso Lhamo Lake].|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:12:30||Landscape|Released, Approved|||Drawing|false||undef|Yes||||India|Tso Lhamo Lake, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17791.tif
17792|Art & Illustrations|||Still Image|Plate 79.11.tif|image/tiff|16 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|1348 x 4304 px|"2.25"" x 7.17"""|5.71cm x 18.22cm|sRGB|Himalayan plateau view, with Chomalu Lake and Lachen Valley.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17792|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of Himalayan plateau view, with Chomalu Lake [Tso Lhamo Lake] and Lachen Valley.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-12 12:13:34||Landscape|Released, Approved|||Drawing|false||undef|Yes||||India|Tso Lhamo Lake, Sikkim|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17792.tif
17793|Art & Illustrations|||Still Image|Plate v48.1.tif|image/tiff|61 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|4160 x 5184 px|"6.93"" x 8.64"""|17.61cm x 21.95cm|sRGB|Interior of Lama's temple, Simonbong, Tonglo, Sikkim.|Pencil sketch by Joseph Dalton Hooker.|Illustration or Artefact||||||||17793|Watercolour World||0.1666666667|80|Helen Hewitt|Pencil sketch of interior of Lama's temple, Simonbong, Tonglo, Sikkim.|Digitisation (imaged ) object|Yes © RBG Kew|2018-04-11 14:44:23||Landscape|Released, Approved|||Drawing|false||undef|Yes||||India|Tonglu, West Bengal|||1849||orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/18/15/_17793.tif
17794|Art & Illustrations|||Still Image|Plate 80.tif|image/tiff|126 MB|Leaf|Leaf Aptus-II 10(LI300388   )/Other|5828 x 7615 px|"9.71"" x 12.69"""|24.67cm x 32.24cm|sRGB|Plate of individual mounted sketches.|Plate of individual mounted pen and inks and etchings.|Illustration or Artefact||||||||17794|Watercolour World||0.1666666667|80|Helen Hewitt||Digitisation (imaged ) object|Yes © RBG Kew|2018-04-17 10:42:19||Portrait|Released, Approved|||Pen & Ink,Etching|||undef|Yes||||||||1848|1911|orange|Watercolour world|Hooker, Joseph Dalton ( 1817-1911)|2018/04/19/11/_17794.tif
